iter	RMSE
0	14.69080877
1	14.38480286
2	14.07003869
3	13.75809287
4	13.4622396
5	13.17314318
6	12.89784534
7	12.65720594
8	12.40628468
9	12.15539135
10	11.91150405
11	11.6821902
12	11.47982054
13	11.25248996
14	11.0748088
15	10.88223329
16	10.69574429
17	10.53738714
18	10.37930313
19	10.23205044
20	10.05336053
21	9.900213149
22	9.73524487
23	9.605835857
24	9.452796199
25	9.29942007
26	9.155403866
27	9.033531089
28	8.902948387
29	8.79058443
30	8.665775986
31	8.571486277
32	8.45887112
33	8.360341801
34	8.258236666
35	8.163414984
36	8.056701344
37	7.970070495
38	7.876093277
39	7.78296005
40	7.716216567
41	7.630890895
42	7.55203861
43	7.481607209
44	7.409746242
45	7.347028291
46	7.269464126
47	7.21328207
48	7.148084638
49	7.095203921
50	7.039174817
51	6.977245864
52	6.921518537
53	6.866776258
54	6.8131422
55	6.773426442
56	6.726640465
57	6.677087986
58	6.63125063
59	6.588913732
60	6.544846959
61	6.502532195
62	6.468093709
63	6.430395447
64	6.401632604
65	6.374239648
66	6.345339726
67	6.312825445
68	6.281855384
69	6.246439425
70	6.218728934
71	6.193910871
72	6.165832279
73	6.138786094
74	6.116997579
75	6.096444608
76	6.075398392
77	6.052824419
78	6.032813694
79	6.007274063
80	5.98462702
81	5.962438578
82	5.94213586
83	5.922166278
84	5.902208615
85	5.885683157
86	5.867367947
87	5.849046153
88	5.833263939
89	5.816884262
90	5.799914821
91	5.787431491
92	5.770563846
93	5.754686966
94	5.745896114
95	5.734429713
96	5.724253266
97	5.713375726
98	5.70438498
99	5.691135025
100	5.677576537
101	5.669842924
102	5.658110884
103	5.647691242
104	5.637098012
105	5.630079621
106	5.618751464
107	5.609410784
108	5.604370722
109	5.595268529
110	5.583974122
111	5.570387313
112	5.563590448
113	5.557636588
114	5.550138351
115	5.541332595
116	5.534617918
117	5.529967515
118	5.523298076
119	5.515241314
120	5.508189594
121	5.501422389
122	5.496951545
123	5.488444458
124	5.485382662
125	5.479723508
126	5.471322832
127	5.467587328
128	5.463053976
129	5.457685178
130	5.451916211
131	5.445765171
132	5.439500948
133	5.431559195
134	5.428734408
135	5.421083694
136	5.416891794
137	5.413192367
138	5.408144397
139	5.404559756
140	5.398117662
141	5.393586516
142	5.388608252
143	5.384350994
144	5.379486022
145	5.376726252
146	5.370858526
147	5.366093447
148	5.359158023
149	5.353040476
150	5.349588924
151	5.346239658
152	5.344108366
153	5.338714934
154	5.331534106
155	5.328173913
156	5.323831742
157	5.32085902
158	5.315773287
159	5.311203263
160	5.308688235
161	5.305089344
162	5.301029316
163	5.29751099
164	5.294712432
165	5.290792572
166	5.285519577
167	5.282362985
168	5.280727186
169	5.27851475
170	5.27355302
171	5.271045058
172	5.266579018
173	5.263993373
174	5.262134179
175	5.258049786
176	5.25447145
177	5.252431336
178	5.246623627
179	5.24483532
180	5.243036231
181	5.240254268
182	5.237971611
183	5.236309268
184	5.233408984
185	5.229353112
186	5.22430648
187	5.219222747
188	5.217221833
189	5.213504504
190	5.211610078
191	5.209577743
192	5.207795582
193	5.20491404
194	5.202618843
195	5.200948813
196	5.198984966
197	5.197158147
198	5.195608946
199	5.191661981
200	5.189359634
201	5.187064741
202	5.18402731
203	5.18123143
204	5.178566081
205	5.176780667
206	5.172267028
207	5.170538037
208	5.165678476
209	5.164155285
210	5.161609369
211	5.15966018
212	5.15888565
213	5.156747811
214	5.154557628
215	5.151870015
216	5.149746183
217	5.145002421
218	5.144081659
219	5.142652407
220	5.137506757
221	5.135221227
222	5.133357465
223	5.13082161
224	5.126662192
225	5.125026636
226	5.120255994
227	5.118835304
228	5.116929728
229	5.115369385
230	5.113623673
231	5.111202532
232	5.107664779
233	5.106347658
234	5.104766635
235	5.104047637
236	5.102573922
237	5.100248143
238	5.097141217
239	5.096943143
240	5.095802926
241	5.094026811
242	5.091207698
243	5.08793697
244	5.085473729
245	5.084253778
246	5.081492922
247	5.078927101
