iter	Passed	Remaining
0	0	222
1	1	206
2	1	193
3	1	173
4	2	166
5	2	158
6	2	151
7	3	147
8	3	143
9	3	139
10	3	137
11	4	134
12	4	131
13	4	129
14	4	127
15	5	127
16	5	126
17	5	124
18	6	123
19	6	122
20	6	122
21	7	121
22	7	122
23	7	121
24	8	120
25	8	120
26	8	120
27	9	120
28	9	120
29	9	119
30	10	120
31	10	120
32	10	119
33	11	119
34	11	118
35	11	117
36	11	117
37	12	116
38	12	115
39	12	114
40	13	114
41	13	113
42	13	112
43	13	112
44	14	112
45	14	111
46	14	111
47	15	110
48	15	109
49	15	109
50	16	109
51	16	108
52	16	108
53	17	108
54	17	108
55	17	108
56	18	108
57	18	108
58	18	107
59	19	107
60	19	107
61	19	106
62	20	106
63	20	106
64	20	105
65	20	105
66	21	104
67	21	104
68	21	104
69	22	103
70	22	103
71	22	102
72	22	102
73	23	101
74	23	101
75	23	101
76	24	103
77	25	102
78	25	102
79	26	103
80	26	103
81	26	103
82	27	102
83	27	102
84	27	102
85	28	102
86	28	101
87	28	101
88	28	100
89	29	100
90	29	100
91	29	99
92	30	99
93	30	99
94	30	98
95	31	98
96	31	98
97	31	97
98	32	99
99	33	98
100	33	98
101	33	97
102	33	97
103	34	96
104	34	96
105	34	96
106	35	95
107	35	95
108	35	94
109	35	94
110	36	93
111	36	93
112	37	93
113	37	93
114	37	92
115	38	92
116	38	92
117	38	91
118	38	91
119	39	91
120	39	91
121	39	90
122	40	90
123	40	89
124	40	89
125	41	88
126	41	88
127	41	88
128	41	87
129	42	87
130	42	86
131	42	86
132	42	85
133	43	85
134	43	85
135	44	85
136	44	84
137	44	84
138	45	84
139	45	83
140	45	83
141	45	83
142	46	82
143	46	82
144	46	81
145	46	81
146	47	80
147	47	80
148	47	80
149	48	79
150	48	79
151	48	79
152	48	78
153	49	78
154	49	77
155	49	77
156	50	77
157	50	76
158	50	76
159	51	76
160	51	75
161	51	75
162	51	75
163	52	74
164	52	74
165	52	74
166	53	73
167	53	73
168	53	73
169	54	72
170	54	72
171	54	72
172	55	72
173	55	71
174	55	71
175	56	71
176	56	70
177	56	70
178	57	70
179	57	69
180	57	69
181	58	69
182	58	69
183	58	68
184	59	68
185	59	67
186	59	67
187	59	67
188	60	66
189	60	66
190	60	66
191	61	66
192	61	65
193	61	65
194	62	65
195	62	64
196	62	64
197	63	64
198	63	64
199	64	63
200	64	63
201	65	63
202	65	63
203	66	63
204	66	62
205	67	63
206	67	62
207	68	62
208	68	62
209	68	61
210	69	62
211	70	61
212	70	61
213	71	61
214	71	61
215	71	60
216	72	60
217	72	60
218	72	59
219	73	59
220	73	59
221	73	58
222	74	58
223	74	58
224	74	57
225	75	57
226	75	57
227	76	57
228	76	56
229	77	56
230	77	56
231	77	56
232	79	56
233	79	55
234	79	55
235	80	55
236	80	54
237	80	54
238	81	54
239	81	53
240	81	53
241	81	53
242	82	52
243	82	52
244	82	52
245	83	51
246	83	51
247	83	51
248	84	50
249	84	50
250	84	50
251	85	49
252	85	49
253	85	49
254	86	48
255	86	48
256	86	47
257	87	47
258	87	47
259	87	47
260	88	46
261	88	46
262	88	45
263	89	45
264	89	45
265	90	45
266	90	44
267	90	44
268	91	44
269	91	43
270	91	43
271	92	43
272	92	42
273	93	42
274	93	42
275	93	41
276	93	41
277	94	41
278	94	40
279	94	40
280	95	39
281	95	39
282	95	39
283	96	39
284	96	38
285	96	38
286	97	37
287	97	37
288	98	37
289	98	36
290	98	36
291	99	36
292	99	35
293	99	35
294	100	35
295	100	34
296	100	34
297	100	34
298	101	33
299	101	33
300	101	33
301	102	32
302	102	32
303	102	32
304	102	31
305	103	31
306	103	30
307	103	30
308	104	30
309	104	30
310	105	29
311	105	29
312	105	29
313	106	28
314	106	28
315	106	28
316	107	27
317	107	27
318	107	26
319	107	26
320	108	26
321	108	25
322	108	25
323	108	25
324	109	24
325	109	24
326	109	24
327	109	23
328	110	23
329	110	23
330	110	22
331	110	22
332	111	22
333	111	21
334	111	21
335	112	21
336	112	20
337	112	20
338	112	19
339	113	19
340	113	19
341	114	19
342	114	18
343	114	18
344	115	18
345	115	17
346	115	17
347	116	17
348	116	16
349	116	16
350	117	16
351	117	15
352	117	15
353	118	15
354	118	14
355	119	14
356	119	14
357	119	13
358	120	13
359	120	13
360	120	12
361	121	12
362	121	12
363	122	11
364	122	11
365	122	11
366	123	10
367	123	10
368	123	10
369	124	9
370	124	9
371	125	9
372	125	8
373	125	8
374	125	8
375	126	7
376	126	7
377	126	7
378	127	6
379	127	6
380	127	6
381	128	5
382	128	5
383	128	5
384	129	4
385	129	4
386	129	4
387	129	3
388	130	3
389	130	3
390	130	2
391	131	2
392	131	2
393	132	1
394	132	1
395	133	1
396	133	0
397	133	0
398	134	0
